번호,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지전화,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y),,
1,2,휴업,2,휴업,,2022-11-07,2023-12-31,041-560-9114,,충청남도 천안시 동남구 수신면 장산리 669-1,충청남도 천안시 동남구 수신면 수신로 576 (상록리조트),31251,상록수영장,225693.4088,359978.5567,,
2,2,휴업,2,휴업,,2021-08-11,2022-03-31,577-2090,330-180,충청남도 천안시 동남구 안서동 211,충청남도 천안시 동남구 성불사길 36 (안서동),31066,(주)홍익힐링센터,216807.3073,369696.3534,,
3,2,휴업,2,휴업,,2008-07-14,2010-07-14,433-9475,740-823,경상북도 김천시 봉산면 태화리 483번지,경상북도 김천시 봉산면 영남대로 734,,둥굴관광농원수영장,292217.588,294393.7467,,
4,2,휴업,2,휴업,,2017-06-01,2022-05-31,,780-280,경상북도 경주시 북군동 11-1번지,경상북도 경주시 보문로 182-29 (북군동),,(주)이랜드파크켄싱턴리조트경주실외수영장,404841.7981,264595.7231,,
5,2,휴업,2,휴업,,2012-08-27,2020-12-31,054-744-1199,780-290,경상북도 경주시 신평동 601-19번지,경상북도 경주시 보문로 365 (신평동),780-290,일성경주보문콘도실내수영장,406006.8348,263329.6359,,
6,2,휴업,2,휴업,,2023-05-12,2024-12-31,055-850-1500,,경상남도 사천시 용현면 선진리 252-1,경상남도 사천시 용현면 청골길 126 (사천테마온천),52537,(주)사천온천랜드 앤 관광호텔 수영장,296213.1891,172752.2699,,
7,2,휴업,2,휴업,,2013-08-13,2016-06-30,,529-803,전라남도 장흥군 장흥읍 행원리 1036번지,,,수영장,190431.9157,132634.7985,,
8,2,휴업,2,휴업,,2024-07-02,2025-07-01,782-3803,,제주특별자치도 제주시 구좌읍 김녕리 5160-1,제주특별자치도 제주시 구좌읍 선유로 445-46,63348,아난티클럽제주 휴양콘도미니엄 어린이실외수영장,175434.1739,2424.812298,,
9,2,휴업,2,휴업,,2018-07-03,2018-12-31,,699-901,제주특별자치도 서귀포시 성산읍 1201번지,제주특별자치도 서귀포시 성산읍 고성오조로 94,63639,퓨리아실내수영장,191979.0378,-4921.826108,,
10,2,휴업,2,휴업,,2022-11-11,2024-11-10,532-2534,487-831,경기도 포천시 내촌면 소학리 295,경기도 포천시 내촌면 금강로2536번길 27,,(주)이랜드파크 베어스타운,221688.2791,477361.7037,,
